pose,regime,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_face_range_m,tag_lateral_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
staging,staging,pallet_rotated,1,149.162000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1743,0.973134,198,357,192,223,1.162840,0.226717,0.350815,0.014122,0.055852,-0.000000,149.422000,0,,,,,,,,pallet_rotated,1,1,,1.162840,0.350815,0.061995
staging,staging,pallet_rotated,2,149.228000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1745,0.973134,198,357,192,223,1.162804,0.226710,0.351467,0.012762,0.060772,-0.000000,149.424000,0,,,,,,,,pallet_rotated,1,1,,1.162804,0.351467,0.062119
staging,staging,pallet_rotated,3,149.294000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1751,0.973837,198,357,192,225,1.164432,0.241675,0.351875,0.011465,0.058020,-0.000000,149.426000,0,,,,,,,,pallet_rotated,1,1,,1.164432,0.351875,0.064876
staging,staging,pallet_rotated,4,149.360000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1746,0.973761,198,357,190,225,1.162834,0.255970,0.352340,0.013530,0.056939,-0.000000,149.428000,0,,,,,,,,pallet_rotated,1,1,,1.162834,0.352340,0.063530
staging,staging,pallet_rotated,5,149.426000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1746,0.970414,198,359,190,223,1.177166,0.241283,0.352212,0.011469,0.061092,-0.000000,149.430000,0,,,,,,,,pallet_rotated,1,1,,1.177166,0.352212,0.059878
staging,staging,pallet_rotated,6,149.492000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1748,0.973913,198,359,190,223,1.177415,0.241334,0.350828,0.013084,0.059078,-0.000000,149.510000,0,,,,,,,,pallet_rotated,1,1,,1.177415,0.350828,0.058894
staging,staging,pallet_rotated,7,149.558000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1746,0.972892,198,359,190,225,1.178634,0.256225,0.353062,0.014460,0.058536,-0.000000,149.574000,0,,,,,,,,pallet_rotated,1,1,,1.178634,0.353062,0.060015
staging,staging,pallet_rotated,8,149.624000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1743,0.972973,198,359,190,225,1.178618,0.256221,0.353289,0.011710,0.064151,-0.000000,149.642000,0,,,,,,,,pallet_rotated,1,1,,1.178618,0.353289,0.064914
staging,staging,pallet_rotated,9,149.690000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1743,0.973054,198,359,190,223,1.177036,0.241256,0.352789,0.012210,0.066255,-0.000000,149.708000,0,,,,,,,,pallet_rotated,1,1,,1.177036,0.352789,0.064348
staging,staging,pallet_rotated,10,149.756000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1742,0.973134,198,359,190,223,1.177325,0.241315,0.349601,0.012798,0.059231,-0.000000,149.784000,0,271.892244,87.006984,3.105673,2.285673,-0.401867,2.818106,0,pallet_rotated,1,1,,1.177324,0.349612,0.051132
staging,staging,pallet_rotated,11,149.822000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1743,0.969880,198,359,190,223,1.177298,0.241309,0.351230,0.012916,0.058729,-0.000000,149.850000,0,271.891301,87.007856,3.105498,2.285498,-0.401853,2.817949,0,pallet_rotated,1,1,,1.177303,0.351291,0.054368
staging,staging,pallet_rotated,12,149.888000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1742,0.973134,198,357,190,223,1.161188,0.241001,0.349288,0.015107,0.061434,-0.000000,149.904000,0,,,,,,,,pallet_rotated,1,1,,1.161188,0.349288,0.058312
staging,staging,pallet_rotated,13,149.954000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1743,0.973451,198,359,190,225,1.178730,0.256246,0.351354,0.013055,0.057530,-0.000000,149.972000,0,,,,,,,,pallet_rotated,1,1,,1.178730,0.351354,0.060582
staging,staging,pallet_rotated,14,150.020000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1747,0.973451,198,359,190,223,1.177387,0.241328,0.353989,0.012926,0.060858,-0.000000,150.048000,0,271.891695,87.007336,3.105493,2.285493,-0.401849,2.817943,0,pallet_rotated,1,1,,1.177387,0.353989,0.046693
staging,staging,pallet_rotated,15,150.086000,pallet_rotated,1,1,2.245190,-0.262859,2.484893,196.912579,358.703580,187.280736,228.564602,0.065177,0.775446,1,,6,1746,0.973294,198,359,190,225,1.178913,0.256285,0.352287,0.013112,0.058650,-0.000000,150.104000,0,,,,,,,,pallet_rotated,1,1,,1.178913,0.352287,0.061317
