case,range_m,yaw_rad,seed,observed,tru_lat_m,tru_range_m,est_lat_m,est_range_m,e_lat_m,e_range_m,e_2d_m,est_yaw_rad,e_yaw_rad,a1_proxy_yaw_rad,roi_u0,roi_u1,roi_v0,roi_v1,face_width_m,face_height_m,pocket_span_m,inliers,floor_found,t_observe_s
approach_1.5,1.5,-0.05,9,1,-0.4,1.818538289091153,-0.39757301599241385,1.812487026434497,0.002426984007586175,-0.006051262656656009,0.006519818334349401,-0.04982642026607954,0.00017357973392046616,-0.10634661960735017,136,359,256,275,1.1968264327012899,0.1019717588400202,0.5529389188529464,523,1,0.05615440000110539
approach_1.5,1.5,0.0,0,1,-0.4,1.818538289091153,-0.40024840602840067,1.812437604194942,-0.0002484060284006495,-0.006100684896211073,0.006105740066347706,-0.0007380250073290055,-0.0007380250073290055,-0.0015556666364594587,132,357,258,275,1.2097557858407493,0.0914037704857455,0.5591745838631296,523,1,0.08374779999940074
approach_1.5,1.5,0.0,1,1,-0.4,1.818538289091153,-0.3995435542420953,1.8092458366234976,0.000456445757904711,-0.009292452467655421,0.009303656033707638,2.184490714999726e-05,2.184490714999726e-05,6.808435793196194e-05,132,357,258,273,1.2075831660213006,0.08050554440142005,0.5581718368260652,522,1,0.0632727000011073
approach_1.5,1.5,0.0,2,1,-0.4,1.818538289091153,-0.39959669849910817,1.8094864887995121,0.00040330150089185057,-0.009051800291640877,0.009060780353831092,0.000861554915460448,0.000861554915460448,0.0018040479671557442,132,357,258,273,1.2077455605616942,0.08051637070411295,0.5582484879247182,543,1,0.09217020000141929
approach_1.5,1.5,0.0,3,1,-0.4,1.818538289091153,-0.3996627927572385,1.8097857822309225,0.00033720724276153913,-0.008752506860230547,0.00875900023193022,-0.00023260179021778032,-0.00023260179021778032,-0.000496102723952298,132,357,258,273,1.207973586803048,0.08053157245353654,0.5583517816315652,545,1,0.04971259999729227
approach_1.5,1.5,0.0,4,1,-0.4,1.818538289091153,-0.3995306230220125,1.8091872804139204,0.00046937697798754563,-0.009351008677232597,0.009362781532704053,0.000508312588689855,0.000508312588689855,0.0010889470810864724,132,357,258,273,1.2075884357731905,0.0805058957182127,0.5581752069725652,535,1,0.06390330000067479
approach_1.5,1.5,0.0,5,1,-0.4,1.818538289091153,-0.3995071722886894,1.8090810888831599,0.000492827711310595,-0.009457200207993122,0.009470032467056319,0.0003843922975800089,0.0003843922975800089,0.0008228342863676057,132,357,258,273,1.2075481373014731,0.08050320915343155,0.5581563366011736,526,1,0.06081640000047628
approach_1.5,1.5,0.0,6,1,-0.4,1.818538289091153,-0.39974118128187036,1.8101407475665496,0.00025881871812966084,-0.008397541524603369,0.008401529074299044,7.277237041656132e-05,7.277237041656132e-05,0.00017622284265057575,132,357,258,273,1.2082148106924657,0.08054765404616437,0.5584638960051762,531,1,0.06072729999868898
approach_1.5,1.5,0.0,7,1,-0.4,1.818538289091153,-0.39963251369996516,1.8096486701245524,0.00036748630003485827,-0.008889618966600565,0.008897211448091915,-0.0012182186978736075,-0.0012182186978736075,-0.002537922020953557,132,357,258,273,1.207866429620421,0.0805244286413614,0.5583003825367772,537,1,0.049412000000302214
approach_1.5,1.5,0.0,8,1,-0.4,1.818538289091153,-0.3995594530758448,1.8093178310242655,0.00044054692415523844,-0.009220458066887538,0.009230976576484968,-0.00041953376462966236,-0.00041953376462966236,-0.0008777128270688302,132,357,258,273,1.2076238930063725,0.08050825953375816,0.5581897961781968,540,1,0.04824259999804781
approach_1.5,1.5,0.0,9,1,-0.4,1.818538289091153,-0.39965427862829994,1.8097472278551328,0.00034572137170008066,-0.008791061236020248,0.00879785660955599,0.000779582828078794,0.000779582828078794,0.0016499689099046513,132,357,258,273,1.2079069371684539,0.08052712914456359,0.5583229387349324,537,1,0.06944280000243452
approach_1.5,1.5,0.05,0,1,-0.4,1.818538289091153,-0.40157447624284054,1.8123606766803475,-0.0015744762428405168,-0.0061776124108055,0.006375097688459944,0.04906723792747825,-0.0009327620725217561,0.10220056488170984,130,357,256,275,1.2181928270237485,0.10196327627071024,0.5663305726830757,539,1,0.09484359999987646
approach_1.5,1.5,0.05,1,1,-0.4,1.818538289091153,-0.4015474923828217,1.8122388948199546,-0.0015474923828217024,-0.006299394271198411,0.006486686431368372,0.050265179650867325,0.00026517965086732265,0.10491737342163124,130,357,256,275,1.2180923062010003,0.10195486263356392,0.56628829763531,535,1,0.058482200001890305
approach_1.5,1.5,0.05,2,1,-0.4,1.818538289091153,-0.40148908335406863,1.8119752868639272,-0.00148908335406861,-0.006563002227225834,0.006729811845061901,0.050939522659086724,0.0009395226590867209,0.10738376623625996,130,357,256,275,1.2178673858818743,0.10193603670376922,0.5661877906632352,536,1,0.051088299998809816
approach_1.5,1.5,0.05,3,1,-0.4,1.818538289091153,-0.40031770941591244,1.8127514294687783,-0.00031770941591241497,-0.005786859622374685,0.005795574480759426,0.04964587057919077,-0.0003541294208092294,0.1029607722715931,130,357,256,277,1.220279991866773,0.11288933845463539,0.5646375752202868,546,1,0.06772939999791561
approach_1.5,1.5,0.05,4,1,-0.4,1.818538289091153,-0.4014683141832312,1.8118815527479912,-0.0014683141832311786,-0.006656736343161773,0.0068167503462462685,0.050161073780772614,0.00016107378077261092,0.10356551236218102,130,357,256,275,1.2178968225380498,0.1019385005648588,0.5661952439194504,537,1,0.06330659999730415
