pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,t_decode_s,t_classify_s
staging,pocket_blocked,18,990.662000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012025,0.081116
staging,pocket_blocked,19,990.728000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010262,0.079294
staging,pocket_blocked,20,990.794000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.013809,0.079045
staging,pocket_blocked,21,990.860000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010978,0.080150
staging,pocket_blocked,22,990.926000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011342,0.078408
staging,pocket_blocked,23,990.992000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010349,0.082490
staging,pocket_blocked,24,991.058000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010663,0.077884
staging,pocket_blocked,25,991.124000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010930,0.080318
staging,pocket_blocked,26,991.190000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010748,0.080669
staging,pocket_blocked,27,991.256000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011271,0.086217
staging,pocket_blocked,28,991.322000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010062,0.073857
staging,pocket_blocked,29,991.388000,stringer_in_path,1,0,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011955,0.086188
staging,stringer_in_path,0,1006.568000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011436,0.082731
staging,stringer_in_path,1,1006.634000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011890,0.079782
staging,stringer_in_path,2,1006.700000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010497,0.079616
staging,stringer_in_path,3,1006.766000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011692,0.081661
staging,stringer_in_path,4,1006.832000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010239,0.085121
staging,stringer_in_path,5,1006.898000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.014778,0.091172
staging,stringer_in_path,6,1006.964000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010694,0.081288
staging,stringer_in_path,7,1007.030000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010582,0.080632
staging,stringer_in_path,8,1007.096000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011155,0.083156
staging,stringer_in_path,9,1007.162000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010468,0.079347
staging,stringer_in_path,10,1007.228000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.011636,0.080226
staging,stringer_in_path,11,1007.294000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010419,0.076809
staging,stringer_in_path,12,1007.360000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.012155,0.083017
staging,stringer_in_path,13,1007.426000,stringer_in_path,1,1,2.245000,-0.399987,2.463727,180.726231,347.856948,198.972102,217.023800,0.029440,0.775436,0.010669,0.077956
