t_sim,gt_x,gt_y,gt_yaw,gt_v,est_v,cmd_v,cmd_w,sm_v,sm_w,gate_v,gate_w,gate_age,traction,steer,env_enable,env_ceiling,env_permit,env_mode,env_publishing,mode_applied,heartbeat,gate_state
2.5397,-4.491655524071073,7.000069191713597,0.0001376355557097291,0.06422460335676085,0.0642124723942004,0.4,0.0,0.07561332256612957,0.0030205742446362304,0.07561332256612957,0.0030205742446362304,0.0012,0.07567980982273656,0.04192045510433423,1,0.6,1,2,1,2,678,0
2.5599,-4.491655524071073,7.000069191713597,0.0001376355557097291,0.06422460335676085,0.07343568943074445,0.4,0.0,0.07561332256612957,0.0030205742446362304,0.07561332256612957,0.0030205742446362304,0.0213,0.07567980982273656,0.04192045510433423,1,0.6,1,2,1,2,678,0
2.5801,-4.488186907008635,7.000123611072002,0.00024517419849990496,0.07511275046137167,0.07405235026407711,0.4,0.0,0.07561332256612957,0.0030205742446362304,0.07561332256612957,0.0030205742446362304,0.0415,0.07567980982273656,0.04192045510433423,1,0.6,1,2,1,2,679,0
2.5999,-4.488186907008635,7.000123611072002,0.00024517419849990496,0.07511275046137167,0.07409268856220061,0.4,0.0,0.09104902084891794,0.003660091834121134,0.09104902084891794,0.003660091834121134,0.0115,0.0911300915597307,0.04218405129775368,1,0.6,1,2,1,2,679,0
2.6198,-4.484048079150628,7.00019470898882,0.00038479335428162723,0.09091811105399955,0.07409372022763544,0.4,0.0,0.09104902084891794,0.003660091834121134,0.09104902084891794,0.003660091834121134,0.0314,0.0911300915597307,0.04218405129775368,1,0.6,1,2,1,2,680,0
2.6398,-4.484048079150628,7.00019470898882,0.00038479335428162723,0.09091811105399955,0.09135040756172774,0.4,0.0,0.10020622140676427,0.0035538882742192344,0.10020622140676427,0.0035538882742192344,0.0014,0.10027567759919812,0.03722183264525793,1,0.6,1,2,1,2,680,0
2.6599,-4.484048079150628,7.00019470898882,0.00038479335428162723,0.09091811105399955,0.09253084500075848,0.4,0.0,0.10020622140676427,0.0035538882742192344,0.10020622140676427,0.0035538882742192344,0.0215,0.10027567759919812,0.03722183264525793,1,0.6,1,2,1,2,680,0
2.6801,-4.479242847180557,7.000279333385316,0.0005495853947763903,0.10021091155544834,0.10124091945412986,0.4,0.0,0.10020622140676427,0.0035538882742192344,0.10020622140676427,0.0035538882742192344,0.0417,0.10027567759919812,0.03722183264525793,1,0.6,1,2,1,2,681,0
2.6999,-4.479242847180557,7.000279333385316,0.0005495853947763903,0.10021091155544834,0.10183296768284161,0.4,0.0,0.11419025808154895,0.005814693053336586,0.11419025808154895,0.005814693053336586,0.0112,0.11435336150810779,0.05341628814605066,1,0.6,1,2,1,2,681,0
2.7198,-4.4739743733778194,7.00038247352661,0.0007491399242278859,0.1123186106865611,0.10182803974086678,0.4,0.0,0.11419025808154895,0.005814693053336586,0.11419025808154895,0.005814693053336586,0.0311,0.11435336150810779,0.05341628814605066,1,0.6,1,2,1,2,682,0
2.7399,-4.4739743733778194,7.00038247352661,0.0007491399242278859,0.1123186106865611,0.11908088900679603,0.4,0.0,0.12631067807452007,0.006902613388822779,0.12631067807452007,0.006902613388822779,0.0012,0.12651844604475326,0.0573174449744438,1,0.6,1,2,1,2,682,0
2.7599,-4.4739743733778194,7.00038247352661,0.0007491399242278859,0.1123186106865611,0.11162778956059681,0.4,0.0,0.12631067807452007,0.006902613388822779,0.12631067807452007,0.006902613388822779,0.0213,0.12651844604475326,0.0573174449744438,1,0.6,1,2,1,2,682,0
