pose,condition,k,stamp,reason,abort,exact,cam_range_m,tru_lat_m,tru_range_m,face_u0,face_u1,face_v0,face_v1,face_frac_plane_roi,valid_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,t_decode_s,t_classify_s
approach_1.50m,pallet_rotated,10,674.852000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188998,0.285144,0.351224,0.014153,0.052781
approach_1.50m,pallet_rotated,11,674.918000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190071,0.296172,0.351924,0.016725,0.043665
approach_1.50m,pallet_rotated,12,674.984000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.189194,0.285191,0.351695,0.011730,0.048356
approach_1.50m,pallet_rotated,13,675.050000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190447,0.296265,0.352395,0.011792,0.043086
approach_1.50m,pallet_rotated,14,675.116000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188557,0.285039,0.351633,0.012518,0.046802
approach_1.50m,pallet_rotated,15,675.182000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.189077,0.285163,0.352022,0.012051,0.043222
approach_1.50m,pallet_rotated,16,675.248000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188754,0.285086,0.351671,0.013020,0.045294
approach_1.50m,pallet_rotated,17,675.314000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.189043,0.285155,0.350481,0.011243,0.046317
approach_1.50m,pallet_rotated,18,675.380000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188709,0.285075,0.350845,0.012021,0.046798
approach_1.50m,pallet_rotated,19,675.446000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188871,0.285114,0.350965,0.013482,0.051387
approach_1.50m,pallet_rotated,20,675.512000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188652,0.285061,0.351815,0.012850,0.043339
approach_1.50m,pallet_rotated,21,675.578000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.188353,0.284990,0.351859,0.011258,0.051431
approach_1.50m,pallet_rotated,22,675.644000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,291,1.189164,0.285184,0.351298,0.010969,0.047818
approach_1.50m,pallet_rotated,23,675.710000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.190378,0.296248,0.351091,0.012438,0.046468
approach_1.50m,pallet_rotated,24,675.776000,pallet_rotated,1,1,1.499620,-0.262831,1.839212,147.845750,371.356525,233.702669,298.547646,0.141428,0.749919,150,371,238,293,1.189927,0.296136,0.351349,0.011322,0.045060
