# measure_pose_arrivals run4 moving SLOW, 30 s legs at 0.15 m/s url=http://127.0.0.1:8088/monitor/state?serial=F001 rate=20.0 seconds=240.0 moving_speed=0.05
t_s,reachable,reason,pose_age_ms,pose_count,obstacles_age_ms,x_m,y_m,yaw_rad,arrival_s,interval_s,messages_in_interval,interval_m,interval_rad
47.8653,True,,5879.8,371,92.3,6.707569193754339,12.006774539242953,-0.8007977370581795,41.9855,,,,
47.919,True,,5939.0,371,49.8,6.707569193754339,12.006774539242953,-0.8007977370581795,41.98,,,,
47.9779,True,,6.2,372,19.8,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9717,6.0099,1,0.4004,0.0372
48.0434,True,,76.1,372,89.8,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9673,,,,
48.1133,True,,142.6,372,54.3,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9707,,,,
48.194,True,,206.4,372,19.8,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9876,,,,
48.2435,True,,252.6,372,66.1,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9909,,,,
48.2895,True,,303.5,372,12.0,6.358400915625329,12.202672634947604,-0.7636358252538931,47.986,,,,
48.34,True,,350.1,372,58.6,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9899,,,,
48.3868,True,,423.4,372,34.4,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9634,,,,
48.4599,True,,472.0,372,83.0,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9879,,,,
48.5083,True,,548.6,372,59.2,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9597,,,,
48.5848,True,,600.4,372,12.9,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9844,,,,
48.6365,True,,671.8,372,84.4,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9647,,,,
48.7081,True,,736.6,372,48.7,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9715,,,,
48.7728,True,,803.1,372,9.2,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9697,,,,
48.8384,True,,870.7,372,76.9,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9677,,,,
48.9063,True,,929.9,372,42.0,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9764,,,,
48.9653,True,,1016.6,372,27.0,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9487,,,,
49.0519,True,,1125.4,372,39.1,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9265,,,,
49.161,True,,1188.7,372,0.7,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9723,,,,
49.2238,True,,1233.8,372,45.8,6.358400915625329,12.202672634947604,-0.7636358252538931,47.99,,,,
49.269,True,,1284.6,372,96.6,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9844,,,,
49.3194,True,,1331.2,372,40.3,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9882,,,,
49.3661,True,,1419.8,372,27.7,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9463,,,,
49.4546,True,,1468.5,372,76.5,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9861,,,,
49.5039,True,,1526.6,372,35.5,6.358400915625329,12.202672634947604,-0.7636358252538931,47.9773,,,,
