cycle,k,stamp,wall,regime,reason,abort,truth_x,truth_y,truth_yaw,cam_range_m,valid_frac,seg_ok,refused,candidates,in_window,inlier_frac,roi_u0,roi_u1,roi_v0,roi_v1,seg_width_m,seg_height_m,seg_yaw_rad,num_retries,dock_state,retry_joined,pallet_readback_ok,pallet_moved_m,countable,t_classify_s,mast_q_m,mast_stamp,mask_stale,tag_u,tag_v,tag_range_m,tag_z_m,tag_stale,reason_wired,abort_wired,seg_ok_wired,refused_wired,seg_width_wired_m,seg_yaw_wired_rad,t_classify_wired_s
0,63,533.084000,15.022897,close,pallet_absent,1,6.904663,4.876194,1.757056,0.546194,0.756364,0,candidate_falls_away_like_a_floor,3,1438,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.084011,-0.000000,533.392000,1,,,,,,none,0,0,too_few_points_in_window,,,0.000006
0,64,533.348000,15.267520,close,pallet_absent,1,6.895977,4.871409,1.776184,0.541409,0.756602,0,candidate_falls_away_like_a_floor,3,1388,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.082297,-0.000000,533.636000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.077640
0,65,533.678000,15.598270,close,pallet_absent,1,6.885367,4.866172,1.799681,0.536172,0.756960,0,candidate_falls_away_like_a_floor,3,1343,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.081718,-0.000000,533.966000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.079014
0,66,534.008000,15.925364,close,pallet_absent,1,6.872724,4.860988,1.827660,0.530988,0.757464,0,candidate_falls_away_like_a_floor,3,1278,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.083285,-0.000000,534.294000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.078936
0,67,534.338000,16.256152,close,pallet_absent,1,6.861765,4.856690,1.852122,0.526690,0.758135,0,face_width_not_pallet_sized,4,49,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.079235,-0.000000,534.624000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.083100
0,68,534.668000,16.588813,close,pallet_absent,1,6.849257,4.850388,1.880868,0.520388,0.759121,0,face_width_not_pallet_sized,5,211,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.081485,-0.000000,534.956000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.077776
0,69,534.998000,16.919054,close,pallet_absent,1,6.837218,4.842511,1.909668,0.512511,0.761549,0,face_width_not_pallet_sized,5,493,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.080446,-0.000000,535.288000,0,,,,,,pallet_absent,1,0,face_width_not_pallet_sized,,,0.081853
0,70,535.328000,17.249379,close,pallet_absent,1,6.827375,4.834584,1.934169,0.504584,0.765329,0,candidate_falls_away_like_a_floor,5,756,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.083152,-0.000000,535.618000,0,,,,,,pallet_absent,1,0,candidate_falls_away_like_a_floor,,,0.082878
0,71,535.658000,17.589476,close,pallet_absent,1,6.816941,4.823838,1.961736,0.493838,0.770215,0,candidate_falls_away_like_a_floor,5,649,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.089516,-0.000000,535.958000,0,,,,,,pallet_absent,1,0,candidate_falls_away_like_a_floor,,,0.082115
0,72,535.988000,17.927688,close,pallet_absent,1,6.809097,4.811174,1.986146,0.481174,0.776237,0,candidate_falls_away_like_a_floor,5,566,1.000000,,,,,,,,0,3,1,1,0.471461,0,0.082579,-0.000000,536.296000,1,,,,,,none,0,0,candidate_falls_away_like_a_floor,,,0.000002
